		0	X	X	0	0	0
ABC		60	N	F	2	0	17
ABC		61	N	F	1	0	20
ABC		25803	N	C	3	0	44
ABC		25804	N	C	5	0	38
ABC		25830	N	C	3	0	44
ABC		25831	N	C	5	0	38
AD		27840	N	E	3	0	24
AD		30544	N	D	3	0	34
AD		37535	N	B	3	0	54
AIDS		35097	N	E	1	15	45
ARCHIBUGI		4529	N	F	1	15	35
ATM		5796	N	E	4	10	31
Aachen		4386	N	E	1	15	45
Aachen		4387	ADJ	E	1	0	30
Abella		66	ADJ	C	2	0	47
Abellian		5859	ADJ	F	1	15	35
Abib		39238	N	E	1	0	30
Academic		317	ADJ	C	2	0	47
Academic		17478	N	C	2	0	47
Academics		317	ADJ	C	2	0	47
Academy		317	ADJ	C	2	0	47
Achillas		538	N	F	1	15	35
Achilles		540	N	C	1	15	65
Achilles		541	N	C	1	15	65
Acts		637	N	D	1	15	55
Acturus		4599	N	C	1	15	65
Ada		727	N	D	3	0	34
Adam		727	N	D	1	15	55
Adam		728	N	C	1	15	65
Adam		39313	N	C	1	15	65
Adar		748	N	E	1	15	45
Aden		4402	N	C	2	10	57
Adriatic		21868	N	B	2	10	67
Adriatic		21869	ADJ	C	1	15	65
Adriatic		22734	N	D	2	0	37
Adriatic		22735	ADJ	D	2	0	37
Adullam		28564	N	F	2	0	17
Adullamite		28564	N	F	1	15	35
Aeduan		18354	N	D	2	0	37
Aedui		1866	N	D	1	15	55
Aedui		21879	N	D	1	0	40
Aegeus		1870	N	D	1	0	40
Aemilian		1908	ADJ	C	1	15	65
Aemilius		1908	ADJ	C	2	0	47
Aeneas		23458	N	C	2	10	57
Aeolic		17726	N	E	3	0	24
Aeolic		17727	N	E	3	0	24
Aeolic		17728	N	E	3	0	24
Aeolic		17729	N	E	3	0	24
Aeons		1936	N	F	3	0	14
Aeons		4508	N	F	1	0	20
Aeons		4864	N	F	1	0	20
Aeons		8348	N	F	1	0	20
Aeons		18686	N	D	3	0	34
Aeons		28630	N	E	2	0	27
Aesculapius		29219	N	C	4	0	41
Aesop		2074	N	C	1	15	65
Aesop		4036	N	F	2	0	17
Afranius		2231	N	C	1	15	65
Afranius		2232	ADJ	C	1	15	65
Africa		2117	N	C	3	0	44
Africa		2122	ADJ	E	1	0	30
Africa		2139	N	B	2	0	57
Africa		2140	ADJ	B	2	0	57
Africa		2233	N	C	1	15	65
Africa		2237	ADJ	C	2	0	47
Africa		3106	N	E	1	0	30
Africa		5093	N	E	1	0	30
Africa		5094	N	C	1	0	50
Africa		28209	N	F	3	0	14
African		2139	N	B	1	15	75
African		2140	ADJ	B	1	15	75
African		2235	ADJ	C	1	15	65
African		2237	ADJ	C	1	15	65
African		7035	ADJ	E	1	0	30
African		7037	ADJ	E	1	0	30
African		8897	N	N	1	0	15
African		8898	N	N	1	0	15
African		9318	N	F	1	0	20
African		9692	N	N	3	0	9
African		10228	N	D	1	0	40
African		14895	N	N	1	0	15
African		25674	ADJ	E	2	10	37
African		26461	N	C	1	0	50
African		28991	N	D	1	0	40
Agamennon		28917	N	C	2	0	47
Agamennon		28918	N	C	2	0	47
Agerius		2260	N	E	1	15	45
Aggeus		2262	N	F	1	15	35
Aggeus		2264	N	F	1	15	35
Agobard		2348	N	F	1	15	35
Agrippa		2386	N	C	1	15	65
Agrippina		2387	N	C	1	15	65
Ah		5	INTERJ	B	1	15	75
Ah		18869	INTERJ	D	1	0	40
Ah		21841	INTERJ	B	1	15	75
Ah		22031	INTERJ	D	1	0	40
Ahat		22052	INTERJ	C	2	10	57
Ahdod		5937	N	F	1	15	35
Ahdod		5938	ADJ	F	1	0	20
Ahdod		5939	ADJ	F	1	0	20
Ahdod		5940	ADV	F	1	0	20
Ajax		37195	N	E	2	0	27
Akeldama		21866	N	F	1	15	35
Alaric		2431	N	F	1	15	35
Albania		22734	N	D	3	10	44
Albania		22735	ADJ	D	2	0	37
Alcmanian		2494	ADJ	E	1	15	45
Alcyone		9266	N	N	2	0	12
Alexander		2528	N	C	1	15	65
Alexander		4716	N	E	1	0	30
Alexandria		2529	N	C	1	15	65
